"concept_id","concept_code","concept_name","vocabulary_id"
42628455,"1029674","Dialysis Circuit Procedures","CPT4"
45889365,"1012740","Dialysis Services and Procedures","CPT4"
2213577,"90947","Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substantial re","CPT4"
2213576,"90945","Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional","CPT4"
2106278,"3066F","Documentation of treatment for nephropathy (eg, patient receiving dialysis, patient being treated for ESRD, CRF, ARF, or renal insufficiency, any visit to a nephrologist) (DM)","CPT4"
45889335,"1019322","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day","CPT4"
2213596,"90969","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 12-19 years of age","CPT4"
2213595,"90968","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 2-11 years of age","CPT4"
2213597,"90970","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients 20 years of age and older","CPT4"
2213594,"90967","End-stage renal disease (ESRD) related services for dialysis less than a full month of service, per day; for patients younger than 2 years of age","CPT4"
2213592,"90965","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 12-19 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4"
2213591,"90964","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 2-11 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4"
2213593,"90966","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients 20 years of age and older","CPT4"
2213590,"90963","End-stage renal disease (ESRD) related services for home dialysis per full month, for patients younger than 2 years of age to include monitoring for the adequacy of nutrition, assessment of growth and development, and counseling of parents","CPT4"
42628419,"G6","Esrd patient for whom less than six dialysis sessions have been provided in a month","CPT4"
45889749,"1006747","Hemodialysis Access, Intervascular Cannulation for Extracorporeal Circulation, or Shunt Insertion Procedures on Arteries and Veins","CPT4"
45889034,"1012752","Hemodialysis Procedures","CPT4"
2213573,"90937","Hemodialysis procedure requiring repeated evaluation(s) with or without substantial revision of dialysis prescription","CPT4"
2213572,"90935","Hemodialysis procedure with single evaluation by a physician or other qualified health care professional","CPT4"
42739891,"99559","Home infusion of peritoneal dialysis, per diem (Deprecated)","CPT4"
2514586,"99512","Home visit for hemodialysis","CPT4"
42628316,"AX","Item furnished in conjunction with dialysis services","CPT4"
45888999,"1012757","Miscellaneous Dialysis Services and Procedures","CPT4"
45888492,"1019071","Other Dialysis Procedures","CPT4"
2108568,"4055F","Patient receiving peritoneal dialysis (ESRD)","CPT4"
42628378,"CB","Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable","CPT4"
2213601,"90999","Unlisted dialysis procedure, inpatient or outpatient","CPT4"
40218482,"C1152","Access system, dialysis, lifesite access system (Deprecated)","HCPCS"
2614980,"A4708","Acetate concentrate solution, for hemodialysis, per gallon","HCPCS"
2614981,"A4709","Acid concentrate, solution, for hemodialysis, per gallon","HCPCS"
2614974,"A4680","Activated carbon filter for hemodialysis, each","HCPCS"
2616966,"E1530","Air bubble detector for hemodialysis, each, replacement","HCPCS"
2616974,"E1592","Automatic intermittent peritoneal dialysis system","HCPCS"
2616968,"E1550","Bath conductivity meter for hemodialysis, each","HCPCS"
2614979,"A4707","Bicarbonate concentrate, powder, for hemodialysis, per packet","HCPCS"
2614978,"A4706","Bicarbonate concentrate, solution, for hemodialysis, per gallon","HCPCS"
2616969,"E1560","Blood leak detector for hemodialysis, each, replacement","HCPCS"
2616979,"E1620","Blood pump for hemodialysis, replacement","HCPCS"
2616963,"E1500","Centrifuge, for dialysis","HCPCS"
40218710,"K0614","Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 ounces (Deprecated)","HCPCS"
2614973,"A4674","Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz","HCPCS"
40217396,"A4790","Cleansing agents for equipment for dialysis only (Deprecated)","HCPCS"
1552696,"M1265","Cms medical evidence form 2728 for dialysis patients: initial form completed","HCPCS"
40217663,"A4900","Continuous ambulatory peritoneal dialysis (CAPD) supply kit (Deprecated)","HCPCS"
40217664,"A4901","Continuous cycling peritoneal dialysis (CCPD) supply kit (Deprecated)","HCPCS"
2615018,"A4890","Contracts, repair and maintenance, for hemodialysis equipment","HCPCS"
2616975,"E1594","Cycler dialysis machine for peritoneal dialysis","HCPCS"
2616978,"E1615","Deionizer water purification system, for hemodialysis","HCPCS"
2616976,"E1600","Delivery and/or installation charges for hemodialysis equipment","HCPCS"
40663931,"G8575","Developed postoperative renal failure or required dialysis","HCPCS"
2615001,"A4765","Dialysate concentrate, powder, additive for peritoneal dialysis, per packet","HCPCS"
2615002,"A4766","Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml","HCPCS"
2615860,"C1881","Dialysis access system (implantable)","HCPCS"
2616990,"E1699","Dialysis equipment, not otherwise specified","HCPCS"
1314323,"G0491","Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd","HCPCS"
1314324,"G0492","Dialysis procedure with single evaluation by a physician or other qualified health care professional for acute kidney injury without esrd","HCPCS"
45754745,"P9A","Dialysis services (medicare fee schedule)","HCPCS"
45754746,"P9B","Dialysis services (non-medicare fee schedule)","HCPCS"
2614975,"A4690","Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each","HCPCS"
44786436,"G9231","Documentation of end stage renal disease (esrd), dialysis, renal transplant before or during the measurement period or pregnancy during the measurement period","HCPCS"
2615023,"A4911","Drain bag/bottle, for dialysis, each","HCPCS"
2617400,"G0322","END STAGE RENAL DISEASE (ESRD) RELATED SERVICES FOR HOME DIALYSIS PATIENTS PER FULL MONTH; FOR PATIENTS TWELVE TO NINETEEN YEARS OF AGE TO INCLUDE MONITORING FOR ADEQUACY OF NUTRITION, ASSESSMENT OF GROWTH AND DEVELOPMENT, AND COUNSELING O... (Deprecated)","HCPCS"
2617401,"G0323","END STAGE RENAL DISEASE (ESRD) RELATED SERVICES FOR HOME DIALYSIS PATIENTS PER FULL MONTH; FOR PATIENTS TWENTY YEARS OF AGE AND OLDER (Deprecated)","HCPCS"
2617399,"G0321","END STAGE RENAL DISEASE (ESRD) RELATED SERVICES FOR HOME DIALYSIS PATIENTS PER FULL MONTH; FOR PATIENTS TWO TO ELEVEN YEARS OF AGE TO INCLUDE MONITORING FOR ADEQUACY OF NUTRITION, ASSESSMENT OF GROWTH AND DEVELOPMENT, AND COUNSELING OF PAR... (Deprecated)","HCPCS"
2617398,"G0320","END STAGE RENAL DISEASE (ESRD) RELATED SERVICES FOR HOME DIALYSIS PATIENTS PER FULL MONTH; FOR PATIENTS UNDER TWO YEARS OF AGE TO INCLUDE MONITORING FOR ADEQUACY OF NUTRITION, ASSESSMENT OF GROWTH AND DEVELOPMENT, AND COUNSELING OF PARENTS (Deprecated)","HCPCS"
2617544,"G8075","End stage renal disease patient with documented dialysis dose of urr greater than or equal to 65% (or kt/v greater than or equal to 1.2) (Deprecated)","HCPCS"
2617545,"G8076","End stage renal disease patient with documented dialysis dose of urr less than 65% (or kt/v less than 1.2) (Deprecated)","HCPCS"
2617493,"G6","Esrd patient for whom less than six dialysis sessions have been provided in a month","HCPCS"
40218608,"E1638","Heating pad, for peritoneal dialysis, any size, each (Deprecated)","HCPCS"
40217661,"A4820","Hemodialysis kit supplies (Deprecated)","HCPCS"
2616973,"E1590","Hemodialysis machine","HCPCS"
40664693,"G8714","Hemodialysis treatment performed exactly three times per week for > 90 days (Deprecated)","HCPCS"
40664745,"G8715","Hemodialysis treatment performed less than three times per week or greater than three times per week (Deprecated)","HCPCS"
40217397,"A4850","Hemostats with rubber tips for dialysis (Deprecated)","HCPCS"
2721479,"S9335","Home therapy, hemodialysis; administrative services, professional pharmacy services, care coordination, and all necessary supplies and equipment (drugs and nursing services coded separately), per diem","HCPCS"
2721482,"S9339","Home therapy; peritoneal dialysis, administrative services, professional pharmacy services, care coordination and all necessary supplies and equipment (drugs and nursing visits coded separately), per diem","HCPCS"
2614996,"A4737","Injectable anesthetic, for dialysis, per 10 ml","HCPCS"
40217665,"A4905","Intermittent peritoneal dialysis (IPD) supply kit (Deprecated)","HCPCS"
2615429,"AX","Item furnished in conjunction with dialysis services","HCPCS"
40217659,"A4735","Local/topical anesthetics for dialysis only (Deprecated)","HCPCS"
40217395,"A4655","Needles and syringes for dialysis (Deprecated)","HCPCS"
40664307,"G8576","No postoperative renal failure/dialysis not required","HCPCS"
40217666,"A4910","Non-medical supplies for dialysis, (i.e., scale, scissors, stopwatch, etc.) (Deprecated)","HCPCS"
915649,"G9523","Patient discontinued from hemodialysis or peritoneal dialysis (Deprecated)","HCPCS"
43533282,"G8957","Patient not receiving maintenance hemodialysis in an outpatient dialysis facility (Deprecated)","HCPCS"
40664909,"G8727","Patient receiving hemodialysis, peritoneal dialysis or kidney transplantation (Deprecated)","HCPCS"
43533281,"G8956","Patient receiving maintenance hemodialysis in an outpatient dialysis facility","HCPCS"
1552855,"M1264","Patients age 75 or older on their initiation of dialysis date","HCPCS"
1552854,"M1263","Patients in hospice on their initiation of dialysis date or during the month of evaluation","HCPCS"
1552693,"M1259","Patients listed on the kidney-pancreas transplant waitlist or who received a living donor transplant within the first year following initiation of dialysis","HCPCS"
801382,"G0052","Patients on peritoneal dialysis for any portion of the reporting month","HCPCS"
1552695,"M1261","Patients that were on the kidney or kidney-pancreas waitlist prior to initiation of dialysis","HCPCS"
1552853,"M1262","Patients who had a transplant prior to initiation of dialysis","HCPCS"
1552859,"M1273","Patients who were admitted to a skilled nursing facility (snf) within one year of dialysis initiation according to the cms-2728 form","HCPCS"
1552694,"M1260","Patients who were not listed on the kidney-pancreas transplant waitlist or patients who did not receive a living donor transplant within the first year following initiation of dialysis","HCPCS"
2616983,"E1634","Peritoneal dialysis clamps, each","HCPCS"
40218706,"K0610","Peritoneal dialysis clamps, each (Deprecated)","HCPCS"
2615016,"A4870","Plumbing and/or electrical work for home hemodialysis equipment","HCPCS"
40217256,"G2129","Procedure-related bp's not taken during an outpatient visit. examples include same day surgery, ambulatory service center, g.i. lab, dialysis, infusion center, chemotherapy","HCPCS"
1552857,"M1269","Receiving esrd mcp dialysis services by the provider on the last day of the reporting month","HCPCS"
2616981,"E1630","Reciprocating peritoneal dialysis system","HCPCS"
40217401,"E1640","Replacement components for hemodialysis and/or peritoneal dialysis machines that are owned or being purchased by the patient (Deprecated)","HCPCS"
2616977,"E1610","Reverse osmosis water purification system, for hemodialysis","HCPCS"
2616469,"CB","Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable","HCPCS"
2616985,"E1636","Sorbent cartridges, for hemodialysis, per 10","HCPCS"
40217660,"A4780","Sterilizing agent for dialysis equipment, per gallon (Deprecated)","HCPCS"
40217662,"A4880","Storage tanks utilized in connection with water purification system, replacement tanks for dialysis (Deprecated)","HCPCS"
801234,"E1629","Tablo hemodialysis system for the billable dialysis service","HCPCS"
2614995,"A4736","Topical anesthetic, for dialysis, per gram","HCPCS"
2615033,"A4929","Tourniquet for dialysis, each","HCPCS"
2614983,"A4714","Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon","HCPCS"
953238,"J3591","Unclassified drug or biological used for esrd on dialysis","HCPCS"
2616972,"E1580","Unipuncture control system for hemodialysis","HCPCS"
2617342,"G0257","Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility","HCPCS"
2615027,"A4918","Venous pressure clamp, for hemodialysis, each","HCPCS"
2617440,"G0365","Vessel mapping of vessels for hemodialysis access (services for preoperative vessel mapping prior to creation of hemodialysis access using an autogenous hemodialysis conduit, including arterial inflow and venous outflow) (Deprecated)","HCPCS"
2616980,"E1625","Water softening system, for hemodialysis","HCPCS"
801384,"G0049","With maintenance hemodialysis (in-center and home hd) for the complete reporting month","HCPCS"
2786488,"3E1M39Z","Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach","ICD10PCS"
43018325,"5A1D90Z","Performance of Urinary Filtration, Continuous, Greater than 18 hours Per Day","ICD10PCS"
43018323,"5A1D70Z","Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day","ICD10PCS"
2788042,"5A1D60Z","Performance of Urinary Filtration, Multiple (Deprecated)","ICD10PCS"
43018324,"5A1D80Z","Performance of Urinary Filtration, Prolonged Intermittent, 6-18 hours Per Day","ICD10PCS"
2788041,"5A1D00Z","Performance of Urinary Filtration, Single (Deprecated)","ICD10PCS"
2002282,"39.95","Hemodialysis","ICD9Proc"
2003564,"54.98","Peritoneal dialysis","ICD9Proc"
40376653,"180267005","(Renal dialysis) or (Thomas intravascular dialysis shunt)","SNOMED"
3519900,"577721000000104","Accidental cut, puncture, perforation or haemorrhage during kidney dialysis or other perfusion","SNOMED"
36696034,"781084007","Accidental cut, puncture, perforation or hemorrhage during kidney dialysis","SNOMED"
40414907,"216877000","Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion","SNOMED"
762711,"430901000124109","Acute dialysis program","SNOMED"
4268532,"365399009","Adequacy of dialysis - finding","SNOMED"
4092504,"251869004","Adequacy of hemodialysis","SNOMED"
3521835,"261000124105","Adjustment of prescription for hemodialysis","SNOMED"
765777,"430931000124101","Air force dialysis program","SNOMED"
3559627,"856161000000105","Anaphylactoid reaction due to haemodialysis","SNOMED"
44809610,"854161000000102","Anaphylactoid reaction due to haemodialysis","SNOMED"
3545995,"863341000000109","Aneurysm of dialysis vascular access","SNOMED"
762713,"430921000124104","Army dialysis program","SNOMED"
4085920,"243778000","Arterial port blood sampling during hemodialysis","SNOMED"
4183419,"54817007","Arteriovenous shunt for renal dialysis by external cannula","SNOMED"
4206254,"440084005","Assessment of adequacy of dialysis","SNOMED"
42690436,"1076481000000109","Assessment of existing renal dialysis vascular access","SNOMED"
