scr_age_group,administrative_sex,creatinine_median
<1 year,Male,0.25
1 to <2 years,Male,0.27
2 to <3 years,Male,0.3
3 to <4 years,Male,0.33
4 to <5 years,Male,0.36
5 to <6 years,Male,0.38
6 to <7 years,Male,0.43
7 to <8 years,Male,0.45
8 to <9 years,Male,0.47
9 to <10 years,Male,0.5
10 to <11 years,Male,0.52
11 to <12 years,Male,0.54
12 to <13 years,Male,0.57
13 to <14 years,Male,0.61
14 to <15 years,Male,0.68
15 to <16 years,Male,0.78
16 to <17 years,Male,0.82
17 to <18 years,Male,0.85
 <1 year,Female,0.25
1 to <2 years,Female,0.27
2 to <3 years,Female,0.3
3 to <4 years,Female,0.33
4 to <5 years,Female,0.36
5 to <6 years,Female,0.38
6 to <7 years,Female,0.43
7 to <8 years,Female,0.45
8 to <9 years,Female,0.47
9 to <10 years,Female,0.5
10 to <11 years,Female,0.52
11 to <12 years,Female,0.54
12 to <13 years,Female,0.57
13 to <14 years,Female,0.61
14 to <15 years,Female,0.62
15 to <16 years,Female,0.68
16 to <17 years,Female,0.7
17 to <18 years,Female,0.71